scenarioid,marketing,sales,cogs,TRANSDATE,region
2,0.9,10.8,4.5,"2000-11-21 00:00:00",East
2,1.5,18,7.5,"2000-11-26 00:00:00",East
1,7.82,57.04,24.38,"2000-11-17 00:00:00",East
1,9.18,66.96,28.62,"2000-11-09 00:00:00",East
2,7.4,88.8,37,"2000-11-13 00:00:00",East
2,0,90,30,"2000-10-20 00:00:00",East
1,15,111,47,"2000-10-09 00:00:00",East
2,0.2,2.2,0.8,"2000-09-13 00:00:00",East
2,9.8,107.8,39.2,"2000-09-23 00:00:00",East
1,15,113,48,"2000-09-16 00:00:00",East
1,1.2,7.12,3.2,"2000-04-23 00:00:00",East
1,3.9,23.14,10.4,"2000-04-26 00:00:00",East
1,9.6,56.96,25.6,"2000-04-27 00:00:00",East
1,15.3,90.78,40.8,"2000-04-06 00:00:00",East
2,20,130,60,"2000-04-12 00:00:00",East
2,0.4,2.4,1,"2000-08-05 00:00:00",East
2,1.4,8.4,3.5,"2000-08-07 00:00:00",East
2,18.2,109.2,45.5,"2000-08-24 00:00:00",East
1,27,160,72,"2000-08-12 00:00:00",East
1,25,153,68,"2000-12-04 00:00:00",East
2,20,110,50,"2000-12-23 00:00:00",East
1,7.68,46.32,20.64,"2000-02-28 00:00:00",East
1,11.84,71.41,31.82,"2000-02-05 00:00:00",East
1,12.48,75.27,33.54,"2000-02-18 00:00:00",East
2,9.2,69,27.6,"2000-02-23 00:00:00",East
2,10.8,81,32.4,"2000-02-01 00:00:00",East
2,1.8,12.6,5.4,"2000-01-24 00:00:00",East
1,2.88,17.1,7.65,"2000-01-27 00:00:00",East
1,3.84,22.8,10.2,"2000-01-20 00:00:00",East
2,5.4,37.8,16.2,"2000-01-10 00:00:00",East
2,6.2,43.4,18.6,"2000-01-03 00:00:00",East
2,6.6,46.2,19.8,"2000-01-12 00:00:00",East
1,12.48,74.1,33.15,"2000-01-21 00:00:00",East
1,12.8,76,34,"2000-01-23 00:00:00",East
2,20,130,50,"2000-07-03 00:00:00",East
1,28,169,76,"2000-07-25 00:00:00",East
2,0.8,5.2,2,"2000-06-06 00:00:00",East
2,1,6.5,2.5,"2000-06-12 00:00:00",East
2,5,32.5,12.5,"2000-06-01 00:00:00",East
2,13.2,85.8,33,"2000-06-03 00:00:00",East
1,28,169,76,"2000-06-26 00:00:00",East
2,20,140,60,"2000-03-05 00:00:00",East
1,32,189,85,"2000-03-03 00:00:00",East
2,7,45.5,17.5,"2000-05-09 00:00:00",East
1,11.31,67.47,30.03,"2000-05-24 00:00:00",East
1,17.69,105.53,46.97,"2000-05-25 00:00:00",East
2,13,84.5,32.5,"2000-05-02 00:00:00",East
1,31,184,82,"2000-11-04 00:00:00",East
2,20,130,60,"2000-11-11 00:00:00",East
2,0.7,6.3,2.8,"2000-10-21 00:00:00",East
2,1.5,13.5,6,"2000-10-17 00:00:00",East
1,12.3,72.57,32.39,"2000-10-21 00:00:00",East
1,17.7,104.43,46.61,"2000-10-10 00:00:00",East
2,7.8,70.2,31.2,"2000-10-03 00:00:00",East
1,4.5,27,12.06,"2000-09-13 00:00:00",East
1,6.25,37.5,16.75,"2000-09-11 00:00:00",East
2,5.2,28.6,13,"2000-09-05 00:00:00",East
1,14.25,85.5,38.19,"2000-09-25 00:00:00",East
2,14.8,81.4,37,"2000-09-26 00:00:00",East
2,2.3,29.9,11.5,"2000-04-11 00:00:00",East
1,5.75,41.75,19,"2000-04-10 00:00:00",East
2,3.4,44.2,17,"2000-04-10 00:00:00",East
2,4.3,55.9,21.5,"2000-04-11 00:00:00",East
1,17.25,125.25,57,"2000-04-21 00:00:00",East
2,0.3,2.4,0.9,"2000-08-16 00:00:00",East
2,0.7,5.6,2.1,"2000-08-26 00:00:00",East
2,0.9,7.2,2.7,"2000-08-08 00:00:00",East
1,3.3,24.2,11,"2000-08-15 00:00:00",East
1,5.4,39.6,18,"2000-08-06 00:00:00",East
1,6.3,46.2,21,"2000-08-16 00:00:00",East
2,8.1,64.8,24.3,"2000-08-15 00:00:00",East
1,19,139,63,"2000-12-03 00:00:00",East
2,10,100,40,"2000-12-03 00:00:00",East
2,0.2,2.4,1,"2000-02-26 00:00:00",East
1,2.3,16.5,7.5,"2000-02-17 00:00:00",East
1,2.76,19.8,9,"2000-02-25 00:00:00",East
2,1.4,16.8,7,"2000-02-18 00:00:00",East
2,3.5,42,17.5,"2000-02-20 00:00:00",East
1,8.97,64.35,29.25,"2000-02-09 00:00:00",East
1,8.97,64.35,29.25,"2000-02-17 00:00:00",East
2,4.9,58.8,24.5,"2000-02-10 00:00:00",East
2,1,6.5,2.5,"2000-01-28 00:00:00",East
2,5.2,33.8,13,"2000-01-19 00:00:00",East
2,13.8,89.7,34.5,"2000-01-16 00:00:00",East
1,24,170,78,"2000-01-25 00:00:00",East
1,0.9,6.6,3,"2000-07-06 00:00:00",East
1,7.38,54.12,24.6,"2000-07-16 00:00:00",East
1,9.72,71.28,32.4,"2000-07-01 00:00:00",East
2,10,100,40,"2000-07-06 00:00:00",East
1,0.2,1.42,0.65,"2000-06-20 00:00:00",East
2,0.4,4.4,1.6,"2000-06-01 00:00:00",East
1,0.8,5.68,2.6,"2000-06-06 00:00:00",East
1,1,7.1,3.25,"2000-06-01 00:00:00",East
1,18,127.8,58.5,"2000-06-16 00:00:00",East
2,9.6,105.6,38.4,"2000-06-27 00:00:00",East
1,2.86,21.19,9.62,"2000-03-01 00:00:00",East
1,4.84,35.86,16.28,"2000-03-16 00:00:00",East
1,14.3,105.95,48.1,"2000-03-05 00:00:00",East
2,10,120,50,"2000-03-23 00:00:00",East
2,0.2,2.2,1,"2000-05-04 00:00:00",East
1,3.15,22.2,10.2,"2000-05-17 00:00:00",East
1,5.46,38.48,17.68,"2000-05-24 00:00:00",East
2,2.8,30.8,14,"2000-05-22 00:00:00",East
1,12.39,87.32,40.12,"2000-05-25 00:00:00",East
2,7,77,35,"2000-05-26 00:00:00",East
1,21,150,69,"2000-11-04 00:00:00",East
2,10,100,50,"2000-11-21 00:00:00",East
2,0,10.4,3.9,"2000-10-03 00:00:00",East
2,0,16.8,6.3,"2000-10-01 00:00:00",East
1,10,71,32.5,"2000-10-28 00:00:00",East
1,10,71,32.5,"2000-10-08 00:00:00",East
2,0,52.8,19.8,"2000-10-18 00:00:00",East
1,0.38,2.72,1.24,"2000-09-05 00:00:00",East
2,1.2,12,4.8,"2000-09-13 00:00:00",East
1,2.85,20.4,9.3,"2000-09-23 00:00:00",East
1,15.77,112.88,51.46,"2000-09-04 00:00:00",East
2,8.8,88,35.2,"2000-09-26 00:00:00",East
1,1.43,12.65,5.17,"2000-04-11 00:00:00",East
1,4.68,41.4,16.92,"2000-04-01 00:00:00",East
1,6.89,60.95,24.91,"2000-04-01 00:00:00",East
2,10,120,40,"2000-04-07 00:00:00",East
2,0,0.8,0.3,"2000-08-02 00:00:00",East
2,0,3.2,1.2,"2000-08-01 00:00:00",East
1,0.9,8.3,3.4,"2000-08-15 00:00:00",East
1,1.89,17.43,7.14,"2000-08-03 00:00:00",East
2,0,33.6,12.6,"2000-08-16 00:00:00",East
2,0,42.4,15.9,"2000-08-21 00:00:00",East
1,6.21,57.27,23.46,"2000-08-11 00:00:00",East
2,0.3,3.6,1.5,"2000-12-07 00:00:00",East
2,1.6,19.2,8,"2000-12-10 00:00:00",East
1,2.94,25.83,10.5,"2000-12-15 00:00:00",East
2,8.1,97.2,40.5,"2000-12-24 00:00:00",East
1,11.06,97.17,39.5,"2000-12-17 00:00:00",East
1,0.28,2.46,1,"2000-02-25 00:00:00",East
1,2.8,24.6,10,"2000-02-23 00:00:00",East
1,10.92,95.94,39,"2000-02-17 00:00:00",East
2,10,130,50,"2000-02-08 00:00:00",East
1,0.14,1.23,0.5,"2000-01-28 00:00:00",East
1,1.26,11.07,4.5,"2000-01-23 00:00:00",East
1,12.6,110.7,45,"2000-01-08 00:00:00",East
2,10,130,50,"2000-01-20 00:00:00",East
2,0,34.2,11.4,"2000-07-12 00:00:00",East
2,0,55.8,18.6,"2000-07-11 00:00:00",East
1,9,87,35,"2000-07-24 00:00:00",East
2,1.1,9.9,3.3,"2000-06-15 00:00:00",East
2,2.3,20.7,6.9,"2000-06-04 00:00:00",East
2,6.6,59.4,19.8,"2000-06-05 00:00:00",East
1,10,92,37,"2000-06-10 00:00:00",East
2,0.1,1.3,0.5,"2000-03-17 00:00:00",East
2,0.4,5.2,2,"2000-03-13 00:00:00",East
1,5.98,55.66,22.54,"2000-03-06 00:00:00",East
1,7.02,65.34,26.46,"2000-03-23 00:00:00",East
2,9.5,123.5,47.5,"2000-03-23 00:00:00",East
2,1.5,16.5,6,"2000-05-14 00:00:00",East
1,5.52,50.14,20.24,"2000-05-06 00:00:00",East
1,6.48,58.86,23.76,"2000-05-14 00:00:00",East
2,8.5,93.5,34,"2000-05-10 00:00:00",East
2,0.1,1.3,0.5,"2000-11-08 00:00:00",East
2,0.5,6.5,2.5,"2000-11-04 00:00:00",East
1,1.8,15.84,6.48,"2000-11-19 00:00:00",East
1,2.25,19.8,8.1,"2000-11-14 00:00:00",East
1,2.85,25.08,10.26,"2000-11-25 00:00:00",East
1,8.1,71.28,29.16,"2000-11-14 00:00:00",East
2,9.4,122.2,47,"2000-11-20 00:00:00",East
2,0.6,6,2.4,"2000-10-14 00:00:00",East
1,1.98,17.82,7.2,"2000-10-11 00:00:00",East
2,2.5,25,10,"2000-10-13 00:00:00",East
2,2.9,29,11.6,"2000-10-10 00:00:00",East
1,3.41,30.69,12.4,"2000-10-16 00:00:00",East
2,4,40,16,"2000-10-21 00:00:00",East
1,5.61,50.49,20.4,"2000-10-11 00:00:00",East
2,2.9,31.9,11.6,"2000-09-20 00:00:00",East
2,3.1,34.1,12.4,"2000-09-04 00:00:00",East
2,4,44,16,"2000-09-03 00:00:00",East
1,12,108,44,"2000-09-06 00:00:00",East
1,1.4,12.4,5,"2000-04-12 00:00:00",East
2,0,18,6,"2000-04-15 00:00:00",East
1,2.17,19.22,7.75,"2000-04-26 00:00:00",East
1,3.43,30.38,12.25,"2000-04-13 00:00:00",East
2,0,42,14,"2000-04-14 00:00:00",East
2,0,50,20,"2000-08-17 00:00:00",East
1,5,47,19,"2000-08-12 00:00:00",East
2,0,8.8,3.3,"2000-12-16 00:00:00",East
1,3.42,31.16,12.54,"2000-12-22 00:00:00",East
1,5.58,50.84,20.46,"2000-12-23 00:00:00",East
2,0,71.2,26.7,"2000-12-22 00:00:00",East
2,0,11.2,3.2,"2000-02-11 00:00:00",East
2,0,25.9,7.4,"2000-02-20 00:00:00",East
2,0,32.9,9.4,"2000-02-21 00:00:00",East
1,7,66,27,"2000-02-01 00:00:00",East
1,0.1,0.94,0.38,"2000-01-04 00:00:00",East
1,0.8,7.52,3.04,"2000-01-21 00:00:00",East
1,3,28.2,11.4,"2000-01-10 00:00:00",East
1,6.1,57.34,23.18,"2000-01-21 00:00:00",East
2,10,100,40,"2000-01-20 00:00:00",East
1,0.55,5.61,2.2,"2000-07-07 00:00:00",East
2,0,6.5,2.6,"2000-07-08 00:00:00",East
1,0.95,9.69,3.8,"2000-07-19 00:00:00",East
2,0,18,7.2,"2000-07-12 00:00:00",East
2,0,25.5,10.2,"2000-07-20 00:00:00",East
1,3.5,35.7,14,"2000-07-26 00:00:00",East
2,0,2,0.8,"2000-06-04 00:00:00",East
1,0.7,7.14,2.8,"2000-06-24 00:00:00",East
2,0,14,5.6,"2000-06-24 00:00:00",East
1,1.75,17.85,7,"2000-06-15 00:00:00",East
1,2.55,26.01,10.2,"2000-06-19 00:00:00",East
2,0,34,13.6,"2000-06-26 00:00:00",East
2,0,60,20,"2000-03-23 00:00:00",East
1,7,62,25,"2000-03-11 00:00:00",East
1,0.24,2.28,0.92,"2000-05-14 00:00:00",East
1,1.14,10.83,4.37,"2000-05-17 00:00:00",East
1,1.56,14.82,5.98,"2000-05-25 00:00:00",East
1,3.06,29.07,11.73,"2000-05-23 00:00:00",East
2,0,60,20,"2000-05-21 00:00:00",East
2,0.7,6.3,2.1,"2000-11-02 00:00:00",East
1,1.2,10.8,4.32,"2000-11-25 00:00:00",East
1,1.5,13.5,5.4,"2000-11-28 00:00:00",East
2,4.3,38.7,12.9,"2000-11-16 00:00:00",East
2,5,45,15,"2000-11-02 00:00:00",East
1,7.3,65.7,26.28,"2000-11-11 00:00:00",East
2,0,2.4,0.8,"2000-10-17 00:00:00",East
2,0,9.6,3.2,"2000-10-18 00:00:00",East
2,0,17.4,5.8,"2000-10-15 00:00:00",East
2,0,30.6,10.2,"2000-10-28 00:00:00",East
1,6,60,24,"2000-10-26 00:00:00",East
1,0.12,1.14,0.46,"2000-09-23 00:00:00",East
2,0,2.4,0.8,"2000-09-14 00:00:00",East
2,0,6.6,2.2,"2000-09-07 00:00:00",East
2,0,51,17,"2000-09-03 00:00:00",East
1,5.88,55.86,22.54,"2000-09-10 00:00:00",East
2,0.9,9.9,3.6,"2000-04-22 00:00:00",East
2,3.4,37.4,13.6,"2000-04-18 00:00:00",East
2,5.7,62.7,22.8,"2000-04-19 00:00:00",East
1,16,125,50,"2000-04-26 00:00:00",East
1,1.68,12.8,5.12,"2000-08-16 00:00:00",East
2,10,150,60,"2000-08-03 00:00:00",East
1,19.32,147.2,58.88,"2000-08-04 00:00:00",East
2,10,100,40,"2000-12-08 00:00:00",East
1,15,122,48,"2000-12-05 00:00:00",East
2,10,100,40,"2000-02-04 00:00:00",East
1,14,114,45,"2000-02-12 00:00:00",East
2,0.1,1.1,0.4,"2000-01-02 00:00:00",East
2,0.3,3.3,1.2,"2000-01-24 00:00:00",East
2,1.2,13.2,4.8,"2000-01-10 00:00:00",East
1,3.6,28.8,11.52,"2000-01-25 00:00:00",East
1,11.4,91.2,36.48,"2000-01-25 00:00:00",East
2,8.4,92.4,33.6,"2000-01-15 00:00:00",East
2,1.3,19.5,7.8,"2000-07-08 00:00:00",East
2,2.6,39,15.6,"2000-07-22 00:00:00",East
2,6.1,91.5,36.6,"2000-07-06 00:00:00",East
1,21,160,64,"2000-07-23 00:00:00",East
2,10,140,50,"2000-06-02 00:00:00",East
1,20,156,62,"2000-06-03 00:00:00",East
1,4.8,38.08,15.04,"2000-03-06 00:00:00",East
2,4.8,52.8,19.2,"2000-03-27 00:00:00",East
2,5.2,57.2,20.8,"2000-03-21 00:00:00",East
1,10.2,80.92,31.96,"2000-03-19 00:00:00",East
2,0.4,4.8,1.6,"2000-05-18 00:00:00",East
2,0.5,6,2,"2000-05-11 00:00:00",East
2,2.3,27.6,9.2,"2000-05-19 00:00:00",East
2,6.8,81.6,27.2,"2000-05-24 00:00:00",East
1,17,132,52,"2000-05-09 00:00:00",East
2,3.9,35.1,11.7,"2000-11-05 00:00:00",East
2,6.1,54.9,18.3,"2000-11-03 00:00:00",East
1,5.32,41.42,16.34,"2000-11-10 00:00:00",East
1,8.68,67.58,26.66,"2000-11-19 00:00:00",East
2,0,13.5,4.5,"2000-10-01 00:00:00",East
2,0,14.4,4.8,"2000-10-08 00:00:00",East
2,0,18.9,6.3,"2000-10-08 00:00:00",East
2,0,43.2,14.4,"2000-10-10 00:00:00",East
1,14,114,45,"2000-10-08 00:00:00",East
1,5.04,38.92,15.4,"2000-09-15 00:00:00",East
1,5.4,41.7,16.5,"2000-09-27 00:00:00",East
1,7.56,58.38,23.1,"2000-09-27 00:00:00",East
2,10,130,50,"2000-09-25 00:00:00",East
2,1.2,13.2,4.8,"2000-04-03 00:00:00",East
2,1.8,19.8,7.2,"2000-04-24 00:00:00",East
2,1.8,19.8,7.2,"2000-04-10 00:00:00",East
2,5.2,57.2,20.8,"2000-04-17 00:00:00",East
1,15,121,49,"2000-04-17 00:00:00",East
2,0.3,4.2,1.5,"2000-08-22 00:00:00",East
1,0.95,7.55,3.05,"2000-08-06 00:00:00",East
1,1.33,10.57,4.27,"2000-08-20 00:00:00",East
2,9.7,135.8,48.5,"2000-08-14 00:00:00",East
1,16.72,132.88,53.68,"2000-08-27 00:00:00",East
2,10,110,40,"2000-12-24 00:00:00",East
1,16,127,52,"2000-12-11 00:00:00",East
1,1.04,8.08,3.28,"2000-02-16 00:00:00",East
1,4.16,32.32,13.12,"2000-02-26 00:00:00",East
2,10,90,30,"2000-02-26 00:00:00",East
1,7.8,60.6,24.6,"2000-02-04 00:00:00",East
2,2.1,16.8,6.3,"2000-01-23 00:00:00",East
1,3.96,30.69,12.54,"2000-01-09 00:00:00",East
2,7.9,63.2,23.7,"2000-01-14 00:00:00",East
1,8.04,62.31,25.46,"2000-01-01 00:00:00",East
2,0.4,5.6,2,"2000-07-14 00:00:00",East
2,1.2,16.8,6,"2000-07-10 00:00:00",East
1,1.33,10.57,4.27,"2000-07-25 00:00:00",East
2,8.4,117.6,42,"2000-07-03 00:00:00",East
1,17.67,140.43,56.73,"2000-07-26 00:00:00",East
1,0.17,1.38,0.56,"2000-06-19 00:00:00",East
1,4.42,35.88,14.56,"2000-06-28 00:00:00",East
2,10,130,50,"2000-06-14 00:00:00",East
1,12.41,100.74,40.88,"2000-06-02 00:00:00",East
1,0.13,1.07,0.43,"2000-03-12 00:00:00",East
2,1.7,17,6.8,"2000-03-25 00:00:00",East
1,1.43,11.77,4.73,"2000-03-03 00:00:00",East
2,3.8,38,15.2,"2000-03-07 00:00:00",East
2,4.5,45,18,"2000-03-20 00:00:00",East
1,4.55,37.45,15.05,"2000-03-19 00:00:00",East
1,6.89,56.71,22.79,"2000-03-09 00:00:00",East
2,3.2,35.2,12.8,"2000-05-10 00:00:00",East
2,6.8,74.8,27.2,"2000-05-26 00:00:00",East
1,5.28,41.25,16.83,"2000-05-21 00:00:00",East
1,10.72,83.75,34.17,"2000-05-23 00:00:00",East
1,1.12,9.04,3.68,"2000-11-22 00:00:00",East
1,4.2,33.9,13.8,"2000-11-10 00:00:00",East
2,10,100,40,"2000-11-06 00:00:00",East
1,8.68,70.06,28.52,"2000-11-20 00:00:00",East
2,0,26.1,8.7,"2000-10-16 00:00:00",East
1,3,24,9.8,"2000-10-23 00:00:00",East
2,0,63.9,21.3,"2000-10-28 00:00:00",East
1,12,96,39.2,"2000-10-25 00:00:00",East
2,0.4,4.4,1.6,"2000-09-27 00:00:00",East
2,3.3,36.3,13.2,"2000-09-25 00:00:00",East
2,6.3,69.3,25.2,"2000-09-11 00:00:00",East
1,15,120,49,"2000-09-03 00:00:00",East
2,3,10,4,"2000-04-19 00:00:00",East
2,4.8,16,6.4,"2000-04-14 00:00:00",East
2,6.6,22,8.8,"2000-04-14 00:00:00",East
2,15.6,52,20.8,"2000-04-01 00:00:00",East
1,40,107,44,"2000-04-24 00:00:00",East
1,3.99,10.57,4.41,"2000-08-25 00:00:00",East
2,18,50.4,21.6,"2000-08-06 00:00:00",East
2,32,89.6,38.4,"2000-08-02 00:00:00",East
1,53.01,140.43,58.59,"2000-08-13 00:00:00",East
2,0.4,1.1,0.4,"2000-12-12 00:00:00",East
2,2.4,6.6,2.4,"2000-12-13 00:00:00",East
1,5.28,14.16,5.88,"2000-12-14 00:00:00",East
2,6.4,17.6,6.4,"2000-12-22 00:00:00",East
1,16.72,44.84,18.62,"2000-12-06 00:00:00",East
1,22,59,24.5,"2000-12-08 00:00:00",East
2,30.8,84.7,30.8,"2000-12-12 00:00:00",East
1,0.39,1.04,0.43,"2000-02-23 00:00:00",East
1,1.17,3.12,1.29,"2000-02-22 00:00:00",East
2,1.2,4,1.6,"2000-02-02 00:00:00",East
2,12.6,42,16.8,"2000-02-06 00:00:00",East
2,16.2,54,21.6,"2000-02-07 00:00:00",East
1,37.44,99.84,41.28,"2000-02-23 00:00:00",East
1,0.34,0.9,0.37,"2000-01-08 00:00:00",East
2,1.2,3.2,1.2,"2000-01-23 00:00:00",East
1,2.38,6.3,2.59,"2000-01-23 00:00:00",East
2,6,16,6,"2000-01-28 00:00:00",East
2,7.8,20.8,7.8,"2000-01-23 00:00:00",East
1,15.3,40.5,16.65,"2000-01-23 00:00:00",East
2,15,40,15,"2000-01-05 00:00:00",East
1,15.98,42.3,17.39,"2000-01-09 00:00:00",East
2,2,5.2,2,"2000-07-08 00:00:00",East
2,5,13,5,"2000-07-17 00:00:00",East
1,5.3,14.1,5.9,"2000-07-16 00:00:00",East
1,9.01,23.97,10.03,"2000-07-18 00:00:00",East
2,19,49.4,19,"2000-07-12 00:00:00",East
2,24,62.4,24,"2000-07-23 00:00:00",East
1,38.69,102.93,43.07,"2000-07-11 00:00:00",East
2,40,120,40,"2000-06-26 00:00:00",East
1,47,125,52,"2000-06-12 00:00:00",East
2,13.8,46,18.4,"2000-03-21 00:00:00",East
1,19.2,51.36,21.12,"2000-03-02 00:00:00",East
2,16.2,54,21.6,"2000-03-18 00:00:00",East
1,20.8,55.64,22.88,"2000-03-07 00:00:00",East
1,5.46,14.56,6.02,"2000-05-04 00:00:00",East
2,5.4,18,7.2,"2000-05-28 00:00:00",East
2,7.2,24,9.6,"2000-05-17 00:00:00",East
1,8.97,23.92,9.89,"2000-05-25 00:00:00",East
2,17.4,58,23.2,"2000-05-17 00:00:00",East
1,24.57,65.52,27.09,"2000-05-20 00:00:00",East
2,30,100,40,"2000-11-09 00:00:00",East
1,40,106,44,"2000-11-18 00:00:00",East
1,0.82,2.18,0.9,"2000-10-15 00:00:00",East
2,2.8,12.6,4.2,"2000-10-21 00:00:00",East
1,4.92,13.08,5.4,"2000-10-03 00:00:00",East
1,16.4,43.6,18,"2000-10-14 00:00:00",East
1,18.86,50.14,20.7,"2000-10-09 00:00:00",East
2,17.2,77.4,25.8,"2000-10-19 00:00:00",East
2,2.4,8,3.2,"2000-09-15 00:00:00",East
2,6,20,8,"2000-09-16 00:00:00",East
2,9.6,32,12.8,"2000-09-19 00:00:00",East
2,12,40,16,"2000-09-24 00:00:00",East
1,40,106,44,"2000-09-04 00:00:00",East
1,0.33,1.95,0.87,"2000-04-12 00:00:00",East
2,0.5,3,1,"2000-04-13 00:00:00",East
2,0.9,5.4,1.8,"2000-04-12 00:00:00",East
1,1.32,7.8,3.48,"2000-04-08 00:00:00",East
1,1.65,9.75,4.35,"2000-04-22 00:00:00",East
1,7.7,45.5,20.3,"2000-04-06 00:00:00",East
2,8.6,51.6,17.2,"2000-04-23 00:00:00",East
2,0.6,3.6,1.2,"2000-08-20 00:00:00",East
1,2.53,14.95,6.67,"2000-08-18 00:00:00",East
2,3.7,22.2,7.4,"2000-08-03 00:00:00",East
2,5.7,34.2,11.4,"2000-08-18 00:00:00",East
1,8.47,50.05,22.33,"2000-08-07 00:00:00",East
1,2.59,16.65,7.4,"2000-12-15 00:00:00",East
2,0,19.6,4.9,"2000-12-06 00:00:00",East
2,0,20.4,5.1,"2000-12-05 00:00:00",East
1,4.41,28.35,12.6,"2000-12-01 00:00:00",East
1,3.74,23.12,10.2,"2000-02-18 00:00:00",East
1,7.26,44.88,19.8,"2000-02-08 00:00:00",East
2,10,60,20,"2000-02-16 00:00:00",East
1,0.55,3.25,1.45,"2000-01-28 00:00:00",East
1,2.64,15.6,6.96,"2000-01-04 00:00:00",East
1,7.81,46.15,20.59,"2000-01-10 00:00:00",East
2,10,60,20,"2000-01-27 00:00:00",East
1,2.1,12.46,5.6,"2000-07-12 00:00:00",East
2,1.8,14.4,5.4,"2000-07-03 00:00:00",East
2,3.5,28,10.5,"2000-07-09 00:00:00",East
1,5.7,33.82,15.2,"2000-07-27 00:00:00",East
2,4.7,37.6,14.1,"2000-07-16 00:00:00",East
1,7.2,42.72,19.2,"2000-07-23 00:00:00",East
1,4.68,28.08,12.6,"2000-06-04 00:00:00",East
1,8.32,49.92,22.4,"2000-06-25 00:00:00",East
2,10,70,30,"2000-06-09 00:00:00",East
2,10,70,30,"2000-03-05 00:00:00",East
1,12,75,33,"2000-03-24 00:00:00",East
2,4.4,30.8,13.2,"2000-05-07 00:00:00",East
2,5.6,39.2,16.8,"2000-05-27 00:00:00",East
1,12,76,34,"2000-05-25 00:00:00",East
2,0.2,1.4,0.6,"2000-11-17 00:00:00",East
2,2.5,17.5,7.5,"2000-11-03 00:00:00",East
2,2.9,20.3,8.7,"2000-11-27 00:00:00",East
2,4.4,30.8,13.2,"2000-11-15 00:00:00",East
1,12,76,34,"2000-11-20 00:00:00",East
1,2.97,18.48,8.25,"2000-10-11 00:00:00",East
1,6.03,37.52,16.75,"2000-10-03 00:00:00",East
2,0,40,10,"2000-10-11 00:00:00",East
1,0.27,1.62,0.72,"2000-09-25 00:00:00",East
1,0.63,3.78,1.68,"2000-09-20 00:00:00",East
2,0,5,2,"2000-09-06 00:00:00",East
2,0,10.5,4.2,"2000-09-07 00:00:00",East
2,0,12,4.8,"2000-09-26 00:00:00",East
2,0,22.5,9,"2000-09-06 00:00:00",East
1,8.1,48.6,21.6,"2000-09-12 00:00:00",East
2,0.2,1.2,0.4,"2000-04-07 00:00:00",East
2,1.1,6.6,2.2,"2000-04-19 00:00:00",East
2,1.6,9.6,3.2,"2000-04-01 00:00:00",East
2,7.1,42.6,14.2,"2000-04-03 00:00:00",East
1,13,79,35,"2000-04-18 00:00:00",East
1,0.42,2.58,1.14,"2000-08-26 00:00:00",East
1,1.54,9.46,4.18,"2000-08-15 00:00:00",East
1,4.34,26.66,11.78,"2000-08-23 00:00:00",East
2,4,24,8,"2000-08-28 00:00:00",East
1,7.7,47.3,20.9,"2000-08-19 00:00:00",East
2,6,36,12,"2000-08-10 00:00:00",East
2,0.3,1.8,0.6,"2000-12-19 00:00:00",East
1,6.44,40.48,17.94,"2000-12-14 00:00:00",East
1,7.56,47.52,21.06,"2000-12-08 00:00:00",East
2,9.7,58.2,19.4,"2000-12-09 00:00:00",East
2,10,50,20,"2000-02-14 00:00:00",East
1,12,74,33,"2000-02-27 00:00:00",East
1,0.36,2.28,1.02,"2000-01-12 00:00:00",East
1,0.48,3.04,1.36,"2000-01-26 00:00:00",East
1,1.8,11.4,5.1,"2000-01-16 00:00:00",East
1,9.36,59.28,26.52,"2000-01-21 00:00:00",East
2,10,50,20,"2000-01-17 00:00:00",East
2,1.3,7.8,2.6,"2000-07-19 00:00:00",East
1,2.86,18.04,7.92,"2000-07-14 00:00:00",East
1,3.12,19.68,8.64,"2000-07-08 00:00:00",East
2,3.5,21,7,"2000-07-24 00:00:00",East
2,5.2,31.2,10.4,"2000-07-21 00:00:00",East
1,7.02,44.28,19.44,"2000-07-17 00:00:00",East
2,0.4,2.4,0.8,"2000-06-07 00:00:00",East
2,0.4,2.4,0.8,"2000-06-09 00:00:00",East
1,0.91,5.74,2.52,"2000-06-18 00:00:00",East
2,9.2,55.2,18.4,"2000-06-15 00:00:00",East
1,12.09,76.26,33.48,"2000-06-07 00:00:00",East
2,10,50,20,"2000-03-19 00:00:00",East
1,12,75,33,"2000-03-21 00:00:00",East
2,0.5,3,1,"2000-05-26 00:00:00",East
2,2.4,14.4,4.8,"2000-05-05 00:00:00",East
2,7.1,42.6,14.2,"2000-05-01 00:00:00",East
1,13,81,36,"2000-05-12 00:00:00",East
2,0.1,0.5,0.2,"2000-11-13 00:00:00",East
2,2.1,10.5,4.2,"2000-11-24 00:00:00",East
2,7.8,39,15.6,"2000-11-21 00:00:00",East
1,12,74,33,"2000-11-21 00:00:00",East
2,0,0.4,0.1,"2000-10-11 00:00:00",East
2,0,0.8,0.2,"2000-10-22 00:00:00",East
1,3.96,25.41,11.22,"2000-10-15 00:00:00",East
2,0,16.4,4.1,"2000-10-09 00:00:00",East
2,0,22.4,5.6,"2000-10-04 00:00:00",East
1,8.04,51.59,22.78,"2000-10-03 00:00:00",East
1,2.85,17.29,7.6,"2000-09-15 00:00:00",East
2,3.6,25.2,10.8,"2000-09-09 00:00:00",East
2,6.4,44.8,19.2,"2000-09-05 00:00:00",East
1,12.15,73.71,32.4,"2000-09-08 00:00:00",East
